Approved Symbol	Gene family description
CELSR3	Adhesion G protein-coupled receptors, subfamily C
ADGRD1	Adhesion G protein-coupled receptors, subfamily D
ADGRD2	Adhesion G protein-coupled receptors, subfamily D
ADGRE1	Adhesion G protein-coupled receptors, subfamily E
ADGRE2	Adhesion G protein-coupled receptors, subfamily E
ADGRE3	Adhesion G protein-coupled receptors, subfamily E
ADGRE4P	Adhesion G protein-coupled receptors, subfamily E
ADGRE5	Adhesion G protein-coupled receptors, subfamily E
ADGRF1	Adhesion G protein-coupled receptors, subfamily F
ADGRF2	Adhesion G protein-coupled receptors, subfamily F
ADGRF3	Adhesion G protein-coupled receptors, subfamily F
ADGRF4	Adhesion G protein-coupled receptors, subfamily F
ADGRF5	Adhesion G protein-coupled receptors, subfamily F
ADGRG1	Adhesion G protein-coupled receptors, subfamily G
ADGRG2	Adhesion G protein-coupled receptors, subfamily G
ADGRG3	Adhesion G protein-coupled receptors, subfamily G
ADGRG4	Adhesion G protein-coupled receptors, subfamily G
ADGRG5	Adhesion G protein-coupled receptors, subfamily G
ADGRG6	Adhesion G protein-coupled receptors, subfamily G
ADGRG7	Adhesion G protein-coupled receptors, subfamily G
ADGRL1	Adhesion G protein-coupled receptors, subfamily L
ADGRL2	Adhesion G protein-coupled receptors, subfamily L
ADGRL3	Adhesion G protein-coupled receptors, subfamily L
ADGRL4	Adhesion G protein-coupled receptors, subfamily L
ADGRV1	Adhesion G protein-coupled receptors, subfamily V
ADIPOR1	Adiponectin receptors
ADIPOR2	Adiponectin receptors
ADRA1A	Adrenoceptors
ADRA1B	Adrenoceptors
ADRA1D	Adrenoceptors
ADRA2A	Adrenoceptors
ADRA2B	Adrenoceptors
ADRA2C	Adrenoceptors
ADRB1	Adrenoceptors
ADRB2	Adrenoceptors
ADRB3	Adrenoceptors
AFF1	AF4/FMR2 family
AFF2	AF4/FMR2 family
AFF3	AF4/FMR2 family
AFF4	AF4/FMR2 family
AJUBA	Ajuba family
LIMD1	Ajuba family
WTIP	Ajuba family
ADH1A	Alcohol dehydrogenases
ADH1B	Alcohol dehydrogenases
ADH1C	Alcohol dehydrogenases
ADH4	Alcohol dehydrogenases
ADH5	Alcohol dehydrogenases
ADH6	Alcohol dehydrogenases
ADH7	Alcohol dehydrogenases
ADHFE1	Alcohol dehydrogenases
ALDH16A1	Aldehyde dehydrogenases
ALDH18A1	Aldehyde dehydrogenases
ALDH1A1	Aldehyde dehydrogenases
ALDH1A2	Aldehyde dehydrogenases
ALDH1A3	Aldehyde dehydrogenases
ALDH1B1	Aldehyde dehydrogenases
ALDH1L1	Aldehyde dehydrogenases
ALDH1L2	Aldehyde dehydrogenases
