accession_number	gene	all_gene_names
O60676	CST8	CST8
P05067	APP	APP
Q9BT49	THAP7	THAP7
P42680	TEC	TEC
Q86W25	NLRP13	NLRP13
P42681	TXK	TXK
O60678	PRMT3	PRMT3
Q86W26	NLRP10	NLRP10
Q2HXU8	CLEC12B	CLEC12B
Q8N6Y0	USHBP1	USHBP1
Q86W28	NLRP8	NLRP8
Q8N6Y1	PCDH20	PCDH20
Q13310	PABPC4	PABPC4
Q8IW92	GLB1L2	GLB1L2
P42684	ABL2	ABL2
Q8N6Y2	LRRC17	LRRC17
Q8NG31	KNL1	KNL1
O95467	GNAS	GNAS
P63092	GNAS	GNAS
P84996	GNAS	GNAS
Q5JWF2	GNAS	GNAS
P42685	FRK	FRK
Q8IW93	ARHGEF19	ARHGEF19
Q969S0	SLC35B4	SLC35B4
Q86UK0	ABCA12	ABCA12
Q969S2	NEIL2	NEIL2
Q9UJC3	HOOK1	HOOK1
Q8NG35	DEFB105A	DEFB105A|DEFB105B
Q13315	ATM	ATM
Q969S3	ZNF622	ZNF622
Q3ZCX4	ZNF568	ZNF568
Q13316	DMP1	DMP1
Q9UJC5	SH3BGRL2	SH3BGRL2
P59190	RAB15	RAB15
Q86UK5	EVC2	EVC2
Q969S6	TMEM203	TMEM203
Q9HB55	CYP3A43	CYP3A43
Q13319	CDK5R2	CDK5R2
Q86UK7	ZNF598	ZNF598
Q8IUR0	TRAPPC5	TRAPPC5
A4QPH2	PI4KAP2	PI4KAP2
Q969S8	HDAC10	HDAC10
Q9HB58	SP110	SP110
Q969S9	GFM2	GFM2
O15194	CTDSPL	CTDSPL
Q8NEL0	CCDC54	CCDC54
O15195	VILL	VILL
Q96PV0	SYNGAP1	SYNGAP1
Q8IUR5	TMTC1	TMTC1
Q8TET4	GANC	GANC
O15197	EPHB6	EPHB6
O15198	SMAD9	SMAD9
Q14181	POLA2	POLA2
Q8IUR6	CREBRF	CREBRF
Q96HF1	SFRP2	SFRP2
Q96PV4	PNMA5	PNMA5
Q4AE62	GTDC1	GTDC1
Q6UUV7	CRTC3	CRTC3
Q8IUR7	ARMC8	ARMC8
Q14183	DOC2A	DOC2A
Q9NQ03	SCRT2	SCRT2
Q96PV6	LENG8	LENG8
Q14184	DOC2B	DOC2B
Q6UUV9	CRTC1	CRTC1
C9J302	C4orf51	C4orf51
P37840	SNCA	SNCA
Q5H9T9	FSCB	FSCB
Q96PV7	FAM193B	FAM193B
Q14185	DOCK1	DOCK1
Q14186	TFDP1	TFDP1
Q8NEL9	DDHD1	DDHD1
Q5SYC1	CLVS2	CLVS2
Q9BY07	SLC4A5	SLC4A5
P18146	EGR1	EGR1
Q14188	TFDP2	TFDP2
P23443	RPS6KB1	RPS6KB1
P51884	LUM	LUM
Q9BY08	EBPL	EBPL
P10826	RARB	RARB
Q5JXC2	MIIP	MIIP
P10827	THRA	THRA
P51888	PRELP	PRELP
P10828	THRB	THRB
Q5T870	PRR9	PRR9
Q3SY77	UGT3A2	UGT3A2
P62304	SNRPE	SNRPE
Q5T871	LELP1	LELP1
Q9NWY4	HPF1	HPF1
Q6NT32	CES5A	CES5A
Q99766	DMAC2L	DMAC2L
P42166	TMPO	TMPO
P42167	TMPO	TMPO
P62306	SNRPF	SNRPF
A0A0B4J1V0	IGHV3-15	IGHV3-15
Q99767	APBA2	APBA2
A0A0B4J1V1	IGHV3-21	IGHV3-21
P0DKV0	SPATA31C1	SPATA31C1
P55769	SNU13	SNU13
P62308	SNRPG	SNRPG
A0A0B4J1V2	IGHV2-26	IGHV2-26
Q9H6W3	RIOX1	RIOX1
O95561	C1orf105	C1orf105
C9JJ37	BTBD19	BTBD19
O95562	SFT2D2	SFT2D2
P09417	QDPR	QDPR
O95563	MPC2	MPC2
A0A0B4J1V6	IGHV3-73	IGHV3-73
P06396	GSN	GSN
Q8N3E9	PLCD3	PLCD3
P27338	MAOB	MAOB
O95567	C22orf31	C22orf31
Q8IZN3	ZDHHC14	ZDHHC14
O95568	METTL18	METTL18
P50552	VASP	VASP
Q9UMX0	UBQLN1	UBQLN1
Q69YL0	NCBP2AS2	NCBP2AS2
Q53EP0	FNDC3B	FNDC3B
P63172	DYNLT1	DYNLT1
Q9UMX1	SUFU	SUFU
P63173	RPL38	RPL38
P50553	ASCL1	ASCL1
Q9UMX2	OAZ3	OAZ3
Q14641	INSL4	INSL4
P04201	MAS1	MAS1
Q14642	INPP5A	INPP5A
Q8IZN7	DEFB107A	DEFB107A|DEFB107B
Q9UMX3	BOK	BOK
Q14643	ITPR1	ITPR1
Q14644	RASA3	RASA3
Q9UMX5	NENF	NENF
Q9UMX6	GUCA1B	GUCA1B
Q9Y5T4	DNAJC15	DNAJC15
Q9Y5T5	USP16	USP16
Q96E22	NUS1	NUS1
Q9UMX9	SLC45A2	SLC45A2
Q96MB7	HARBI1	HARBI1
P01185	AVP	AVP
P15586	GNS	GNS
P49146	NPY2R	NPY2R
A2VCK2	DCDC2B	DCDC2B
Q7Z570	ZNF804A	ZNF804A
Q5TEC3	ZNF697	ZNF697
P01189	POMC	POMC
Q96E29	MTERF3	MTERF3
Q2V2M9	FHOD3	FHOD3
Q8WXS3	BAALC	BAALC
Q8WXS4	TMEM37	TMEM37
Q7Z572	SPATA21	SPATA21
Q96CK0	ZNF653	ZNF653
P06850	CRH	CRH
Q8WXS5	CACNG8	CACNG8
P26010	ITGB7	ITGB7
Q8N8A2	ANKRD44	ANKRD44
O60682	MSC	MSC
P26012	ITGB8	ITGB8
Q8WXS8	ADAMTS14	ADAMTS14
P19474	TRIM21	TRIM21
O60683	PEX10	PEX10
P0DPR3	TRDD1	TRDD1
Q9BT56	SPX	SPX
O60684	KPNA6	KPNA6
Q8N8A6	DDX51	DDX51
Q86W33	TPRA1	TPRA1
Q8N8A8	FAM169B	FAM169B
Q86W34	AMZ2	AMZ2
Q712K3	UBE2R2	UBE2R2
O60687	SRPX2	SRPX2
P06858	LPL	LPL
O60688	YPEL1	YPEL1
P31314	TLX1	TLX1
A4D174	C7orf71	C7orf71
I1YAP6	TRIM77	TRIM77
Q9H3C7	GGNBP2	GGNBP2
Q5BKT4	ALG10	ALG10
P58335	ANTXR2	ANTXR2
Q5JSH3	WDR44	WDR44
P42694	HELZ	HELZ
Q8NG41	NPB	NPB
P42695	NCAPD3	NCAPD3
Q9UJD0	RIMS3	RIMS3
P42696	RBM34	RBM34
Q13322	GRB10	GRB10
Q13323	BIK	BIK
Q13324	CRHR2	CRHR2
Q13325	IFIT5	IFIT5
Q969T3	SNX21	SNX21
Q13326	SGCG	SGCG
A8MXD5	GRXCR1	GRXCR1
Q86UL3	GPAT4	GPAT4
Q06787	FMR1	FMR1
Q969T4	UBE2E3	UBE2E3
A6NI47	POTEM	POTEM
Q9HB63	NTN4	NTN4
Q9BRN9	TM2D3	TM2D3
Q8NG48	LINS1	LINS1
Q5FBB7	SGO1	SGO1
Q9HB65	ELL3	ELL3
Q969T7	NT5C3B	NT5C3B
Q86UL8	MAGI2	MAGI2
Q7L266	ASRGL1	ASRGL1
Q969T9	WBP2	WBP2
Q8NEM0	MCPH1	MCPH1
Q6KF10	GDF6	GDF6
Q8NEM1	ZNF680	ZNF680
Q9NYA1	SPHK1	SPHK1
Q8NEM2	SHCBP1	SHCBP1
Q9BY10	SLC46A2	SLC46A2
Q14190	SIM2	SIM2
Q8IUS5	EPHX4	EPHX4
Q14191	WRN	WRN
Q9BY11	PACSIN1	PACSIN1
Q9NYA3	GOLGA6A	GOLGA6A
Q32Q52	C12orf74	C12orf74
Q96HG1	SMIM10	SMIM10
Q9BY12	SCAPER	SCAPER
Q9NYA4	MTMR4	MTMR4
P32189	GK	GK
Q14192	FHL2	FHL2
Q9NQ11	ATP13A2	ATP13A2
Q15973	ZNF124	ZNF124
Q8TEU7	RAPGEF6	RAPGEF6
