Approved Symbol	Previous Symbols	Synonyms
LILRB5		LIR-8, LIR8, CD85c
LILRP1		ILT9, CD85l, LILRA6P
LILRP2		ILT10, CD85m
LIM2		MP19, MP17
LIMA1		EPLIN
LIMAB1~withdrawn		
LIMCH1		DKFZP686A01247, LIMCH1A, LMO7B
LIMD1		
LIMD1-AS1		
LIMD2		MGC10986
LIME1		FLJ20406, dJ583P15.4, LIME
LIMK1		LIMK
LIMK2		
LIMM~withdrawn		
LIMS1		PINCH, PINCH1
LIMS1-AS1		
LIMS2		PINCH2, PINCH-2
LIMS3		
LIMS4	LIMS3L	
LIN7A		MALS-1, TIP-33, LIN-7A, VELI1
LIN7B		MALS-2, LIN-7B, VELI2
LIN7C		MALS-3, Lin7c, LIN-7C, LIN-7-C, VELI3, FLJ11215
LIN9		TGS
LIN28A	LIN28	LIN-28, FLJ12457, ZCCHC1, CSDD1
LIN28AP1		
LIN28AP2		
LIN28AP3		
LIN28B		FLJ16517, CSDD2
LIN28B-AS1	C6orf220, LINC00577	dJ439I14.1
LIN37		ZK418.4, F25965, lin-37
LIN52	C14orf46	
LIN54		MIP120, DKFZp686L1814, JC8.6, CXCDC1, TCX1
LINC-PINT	MKLN1-AS1	FLJ43663, PINT, LincRNA-Pint
LINC-ROR		lincRNA-RoR, lincRNA-ST8SIA3, ROR
LINC00028	C20orf93, NCRNA00028	dJ1093G12.6
LINC00029	C20orf51, NCRNA00029	bA305P22.4
LINC00032	C9orf14, NCRNA00032	
LINC00051	C8orf43, NCRNA00051	
LINC00052	TMEM83, NCRNA00052	FLJ31461
LINC00092	NCRNA00092	bA346B7.1
LINC00094	NCRNA00094	FLJ35348, bA374P20.3
LINC00102	NCRNA00102	OTTHUMT00000055623
LINC00106	CXYorf8, NCRNA00106	OTTHUMG00000021061
LINC00108~withdrawn		
LINC00111	C21orf21, NCRNA00111	
LINC00112	C21orf22, NCRNA00112	
LINC00113	C21orf23, NCRNA00113	
LINC00114	C21orf24, NCRNA00114	
LINC00115	NCRNA00115	FLJ22639
LINC00116	NCRNA00116	
LINC00158	C21orf42, NCRNA00158	
LINC00159	C21orf44, NCRNA00159	
LINC00160	C21orf52, NCRNA00160	
LINC00161	C21orf100, NCRNA00161	
LINC00163	C21orf134, NCRNA00163	NLC1-A, NLC1A
LINC00165	C21orf135, NCRNA00165	NLC1-B
LINC00167	C11orf37, NCRNA00167	FLJ31394
LINC00173	NCRNA00173	FLJ42957
LINC00174	NCRNA00174	
LINC00176	PRR17, NCRNA00176	DKFZp434G015, FLJ27267
LINC00184	NCRNA00184	HANC
LINC00189	C21orf109, NCRNA00189	
LINC00200	C10orf139, NCRNA00200	FLJ40354
LINC00205	C21orf86, NCRNA00205	
LINC00207	NCRNA00207	
LINC00208	C8orf14, NCRNA00208	
LINC00210	NCRNA00210	RP11-72L13.1
LINC00211	NCRNA00211	
LINC00216	C14orf107, NCRNA00216	PRO1617
LINC00221	C14orf98, NCRNA00221	
LINC00222	C6orf181, NCRNA00222	dJ354J5.2
LINC00226	C14orf97, NCRNA00226	
LINC00229	C22orf10, NCRNA00229	dJ474I12.C22.2
LINC00235	C16orf10, NCRNA00235	
LINC00237	NCRNA00237	
LINC00238	C14orf53, NCRNA00238	
LINC00239	C14orf72, NCRNA00239	
LINC00240	C6orf41, NCRNA00240	bA373D17.1
LINC00242	C6orf122, NCRNA00242	FLJ31451, dJ266L20.5
LINC00243	C6orf214, NCRNA00243	bQB230F21.2, FLJ40693, bQB10J12.2
LINC00244	C7orf4, NCRNA00244	
LINC00251	C8orf25, NCRNA00251	
LINC00254	C16orf32, NCRNA00254	
LINC00260	C1orf217, NCRNA00260	MGC5457
LINC00261	C20orf56, NCRNA00261	bA216C10.1, HCCDR1, TCONS_00027846, ALIEN, DEANR1, onco-lncRNA-17
LINC00265	NCRNA00265	NCRNA00265-1
LINC00265-2P	NCRNA00265B, NCRNA00265-2P	
LINC00265-3P	NCRNA00265C, NCRNA00265-3P	
LINC00266-1	C20orf69, NCRNA00266, NCRNA00266-1	bA476I15.3
LINC00266-2P	NCRNA00266B, NCRNA00266-2P	NCRNA00266Y1
LINC00266-3	C6orf88, NCRNA00266C, NCRNA00266-3	dJ24O22.2
LINC00266-4P	NCRNA00266D, NCRNA00266-4P	NCRNA00266Y2
LINC00268	NCRNA00268	NCRNA00268A, NCRNA00268-1
LINC00268-2P	NCRNA00268B, NCRNA00268-2P	
LINC00269	CXorf62, NCRNA00269	FLJ33610
LINC00271	C6orf217, NCRNA00271	
LINC00272	C1orf120, NCRNA00272	RP1-223H12.3
LINC00273	NCRNA00273	TOP, NCRNA00273-1
LINC00273-2P~withdrawn		
LINC00276	NCRNA00276	
LINC00278	NCRNA00278	
LINC00279	NCRNA00279	
LINC00280	NCRNA00280	
LINC00282	NCRNA00282	FLJ37307
LINC00283	NCRNA00283	
LINC00284	NCRNA00284	
LINC00290	NCRNA00290	
LINC00293	NCRNA00293	BEYLA
LINC00294	NCRNA00294	
LINC00297	NCRNA00297	
LINC00298		
LINC00299	C2orf46, NCRNA00299	FLJ45673
LINC00301	C11orf64, NCRNA00301	MGC39681
LINC00302	C1orf46, NCRNA00302	XP33
LINC00303	C1orf157, NCRNA00303	FLJ40343
LINC00304	C16orf81, NCRNA00304	FLJ36701
LINC00305	C18orf20, NCRNA00305	MGC39571, HsT1235
LINC00307	NCRNA00307	D21S2091E
LINC00308	C21orf74, NCRNA00308	PRED16
LINC00309	NCRNA00309	
LINC00310	C21orf82, NCRNA00310	
LINC00311	TMEM148, NCRNA00311	MGC22001
LINC00312	LOH3CR2A, NCRNA00312	NAG7, NAG-7, ERR10, ERR-10, LMCD1DN
LINC00313	C21orf84, NCRNA00313	
LINC00314	C21orf94, NCRNA00314	
LINC00315	C21orf93, NCRNA00315	
LINC00316	C21orf111, NCRNA00316	PRED59
LINC00317	C21orf117, NCRNA00317	PRED89
LINC00319	C21orf125, NCRNA00319	PRED49, FLJ38036
LINC00320	C21orf131, NCRNA00320	PRED14, FLJ37539
LINC00322	C21orf136, NCRNA00322	FLJ16545
LINC00323	C21orf130, NCRNA00323	PRED42, FLJ37173
LINC00324	C17orf44, NCRNA00324	FLJ34790, MGC104931
LINC00326	NCRNA00326	
LINC00327	NCRNA00327	
LINC00328	NCRNA00328A, NCRNA00328	NCRNA00328-1
LINC00328-2P	NCRNA00328B, NCRNA00328-2P	
LINC00329~withdrawn		
LINC00330	NCRNA00330	
LINC00331	NCRNA00331	
LINC00332	NCRNA00332	
LINC00333	NCRNA00333	
LINC00334	C21orf89, NCRNA00334	
LINC00336	C6orf227, NCRNA00336	FLJ43752
LINC00337	C1orf211, NCRNA00337	MGC40168
LINC00339	NCRNA00339	HSPC157
LINC00341~withdrawn		
LINC00342	NCRNA00342	
LINC00343	NCRNA00343, LINC00344, NCRNA00344	
LINC00344~withdrawn		
LINC00345		
LINC00346	C13orf29, NCRNA00346	
LINC00347		
LINC00348		
LINC00349		
LINC00350		
LINC00351		
LINC00352		
LINC00353		
LINC00354		
LINC00355		
LINC00356~withdrawn		
LINC00357~withdrawn		
LINC00358		
LINC00359		
LINC00361~withdrawn		
LINC00362		
LINC00363		TCONS_00021586
LINC00364		
LINC00365		
LINC00366		
LINC00367		TCONS_l2_00007488
LINC00368		
LINC00370		
LINC00371		
LINC00372~withdrawn		
LINC00374		
LINC00375		
LINC00376		
LINC00377		TCONS_00021861
LINC00378		
LINC00379		
LINC00380		TCONS_00021685
LINC00381		
LINC00382		TCONS_00021500
LINC00383	LINC00401	
LINC00384		
LINC00385		
LINC00387		
LINC00388		
LINC00390		TCONS_00021641
LINC00391		
LINC00392		
LINC00393		
LINC00395		
LINC00396		
LINC00397		TCONS_00021582
LINC00398		
LINC00399		TCONS_00021596
LINC00400		
LINC00401~withdrawn		
LINC00402		
LINC00403		
LINC00404		
LINC00407		
LINC00408		
LINC00410		
LINC00411		
LINC00412		
LINC00413~withdrawn		
LINC00414~withdrawn		
LINC00415		
LINC00417~withdrawn		
LINC00418~withdrawn		
LINC00419~withdrawn		
LINC00420~withdrawn		
LINC00421		
LINC00422~withdrawn		
LINC00423		
LINC00424		
LINC00426		
LINC00427		
LINC00428		
LINC00430		TCONS_00021581
LINC00431		
LINC00433		
LINC00434		
LINC00437		TCONS_00021639
LINC00438~withdrawn		
LINC00439~withdrawn		
LINC00440		
LINC00441		ncRNA-RB1
LINC00442		
LINC00443		
LINC00444		
LINC00445		
LINC00446		
LINC00448		
LINC00449		
LINC00452	LINC00453	
LINC00453~withdrawn		
LINC00454		
LINC00456		
LINC00457		
LINC00458		LncRNA-ES3
LINC00459		
LINC00460		
LINC00461		EyeLinc1, Visc-1a, Visc-1b, Visc-2, LOC645323
LINC00462		
LINC00463	AMER2-AS1	TCONS_l2_00007499
LINC00464~withdrawn		
LINC00466		
LINC00467	C1orf97	MGC14801
LINC00469	C17orf54	FLJ40319
LINC00470	C18orf2	
LINC00471	C2orf52	MGC43122
LINC00472	C6orf155	dJ288M22.3, FLJ13189
LINC00473	C6orf176	bA142J11.1
LINC00474	C9orf27	EST-YD1
LINC00475	C9orf44	
LINC00476	C9orf130	
LINC00477	C12orf67	FLJ32894, FAM191B
LINC00479	C21orf129	PRED76, FLJ32835
LINC00481~withdrawn		
LINC00482	C17orf55	FLJ39421
LINC00483	C17orf73	FLJ20694
LINC00484	C9orf73	
LINC00485		
LINC00486		
LINC00487		FLJ42418
LINC00488	C3orf66	FLJ41232
LINC00489		
LINC00491		BC008363
LINC00492		
LINC00494		
LINC00498		
LINC00499		
LINC00500		
LINC00501		
LINC00502		
LINC00504		
LINC00505		
LINC00506		
LINC00507		
LINC00508		
LINC00511		onco-lncRNA-12
LINC00513		AC016831.7
LINC00514		
LINC00515	C21orf71	PRED21
LINC00517	C14orf26	
LINC00518	C6orf218	MGC40222
LINC00519	C14orf30	
LINC00520	C14orf34	
LINC00521	C14orf48	
LINC00523	C14orf70	
LINC00524	C14orf71	
LINC00525		
LINC00526	C18orf18	MGC17515, HsT959
LINC00527	C21orf104	
LINC00528	C22orf37	FLJ40542
LINC00529	C8orf8	
LINC00533	C6orf38	bA373N24.1, C6orf39
LINC00534		
LINC00535		
LINC00536		
LINC00537		
LINC00538		Yiya, PROX1UT
LINC00539	LINC00422	
LINC00540		
LINC00543		
LINC00544		
LINC00545		
LINC00547		FLJ34747
LINC00548		FLJ42392
LINC00550		
LINC00551		
LINC00552		
LINC00554		
LINC00555		
LINC00556		
LINC00557		
LINC00558		
LINC00559		
LINC00560		
LINC00561		
LINC00562		
LINC00563		
LINC00564		
LINC00565		
LINC00566		
LINC00567		
LINC00570		ncRNA-a5
LINC00571		
LINC00572		
LINC00574	C6orf208	FLJ13162, dJ182D15.1
LINC00575	C4orf11	
LINC00578		
LINC00581		
LINC00582		
LINC00583	C9orf146	
LINC00587	C9orf107	bA785H23.1
LINC00588	C8orf71	DKFZP434F122
LINC00589	C8orf75	
LINC00592		
LINC00593	C15orf50	MGC42951
LINC00594~withdrawn		
LINC00595	C10orf101	
LINC00596	C14orf165	CNSLT1I7G
LINC00597	C15orf5	
LINC00598		TTL
LINC00599		Rncr3
LINC00601		
LINC00602		
LINC00603		
LINC00604		
LINC00605		
LINC00606		
LINC00607		
LINC00608		
LINC00609		
LINC00610~withdrawn		
LINC00612	C12orf33	MGC40170, FLJ41814
LINC00613		
LINC00614	C10orf52	FLJ35853
LINC00615	C12orf37	FLJ25378
LINC00616		
LINC00618	C14orf63	
LINC00619	C10orf136	bA168P8.1
LINC00620		
LINC00621		
LINC00622		
LINC00623		
LINC00624		
LINC00626		MGC4473
LINC00628		
LINC00629		
LINC00630		
LINC00632		
LINC00633		
LINC00634		
LINC00635		
LINC00636		
LINC00637		
LINC00638		MGC23270
LINC00639		
LINC00640		
LINC00641		
LINC00642		
LINC00643		
LINC00644		
LINC00645		
LINC00648		
LINC00649		TCONS_00028768
LINC00650~withdrawn		
LINC00652		HSPC072
LINC00654		
LINC00656		
LINC00658		
LINC00659		
LINC00661		
LINC00662		
LINC00663		MGC39821
LINC00664		
LINC00665		
LINC00667		
LINC00668		
LINC00670		FLJ34690
LINC00671		
LINC00672		
LINC00673		HI-LNC75, SLNCR1
LINC00674		
LINC00675		
LINC00676		
LINC00677	C14orf74	
LINC00678		
LINC00680		
LINC00681		
LINC00682		
LINC00683		
LINC00685	CXYorf10, NCRNA00107, PPP2R3B-AS1	OTTHUMT00000055574
LINC00686	C20orf90	bA93B14.2
LINC00687	C20orf61	dJ1012F16.1
LINC00689		
LINC00690		
LINC00691		
LINC00692		
LINC00693		
LINC00694		
LINC00696	C3orf74	
LINC00698		
LINC00700		
LINC00701		
LINC00702		
LINC00703		
LINC00704		
LINC00705		
LINC00706		
LINC00707		
LINC00708		
LINC00709		
LINC00710		
LINC00824	LINC01263	
LINC00836		
LINC00837		
LINC00838		
LINC00839		
LINC00840		
LINC00841		
LINC00842		
LINC00843		
LINC00844		
LINC00845		
LINC00846	C21orf77	FLJ10932
LINC00847		
LINC00849~withdrawn		
LINC00850		KUCG1
LINC00851	DZANK1-AS1	
LINC00852	C3orf42, GHRLOS2	NAG73, GHRL-AS2
LINC00853	PDZK1IP1-AS1	ncRNA-a4
LINC00854	TMEM106A-AS1	
LINC00856		
LINC00857		
LINC00858		
LINC00861		
LINC00862	C1orf98, SMIM16	
LINC00863		
LINC00864		
LINC00865		
LINC00866		
LINC00867		
LINC00868	C17orf52	
LINC00869		KIAA0493
LINC00870		
LINC00871		RP11-1A16.1
LINC00875~withdrawn		
LINC00877		
LINC00879		
LINC00880		
LINC00881		
LINC00882		
LINC00884		
LINC00885		
LINC00886		
LINC00887		linc-ATP13A4-8, HEIRCC
LINC00888		
LINC00889		FLJ30672
LINC00890		
LINC00891		FLJ46446
LINC00892		
LINC00893		
LINC00894		
LINC00895		
LINC00896		FLJ32575
LINC00898		
LINC00899		
LINC00900		
LINC00901	LSAMP-AS4	TCONS_00005428, BC040587
LINC00903	LSAMP-AS2	
LINC00904		
LINC00905		FLJ25328
LINC00906		
LINC00907		
LINC00908		
LINC00909		
LINC00910		
LINC00911		
LINC00914~withdrawn		
LINC00917		
LINC00919		
LINC00920		
LINC00921		FLJ39639
LINC00922		
LINC00923		
LINC00924		
LINC00926		
LINC00927		
LINC00928		
LINC00929		
LINC00930		
LINC00933		
LINC00934		
LINC00935		
LINC00937		
LINC00938		
LINC00939		
LINC00940		
LINC00941		
LINC00942		
LINC00943		
LINC00944		
LINC00945		TCONS_00028834
LINC00950		FP588
LINC00951		lincRNA-uc003opf.1, FLJ41649
LINC00954		FLJ12334
LINC00955		FLJ35424
LINC00957		
LINC00958		
LINC00959		
LINC00960		
LINC00963		
LINC00964		
LINC00965		
LINC00967		
LINC00968		
LINC00969		ENST00000453324
LINC00970		
LINC00971		
LINC00972		
LINC00973		CTD-2021J15.2
LINC00974		
LINC00976		
LINC00977		
LINC00982		FLJ42875
LINC00987		
LINC00989		
LINC00992		
LINC00993		
LINC00994		
LINC00996		
LINC00997		
LINC00998		
LINC00999		FLJ44672
LINC01000		FLJ45340
LINC01001		
LINC01002		
LINC01003		
LINC01004		
LINC01005		
LINC01006	C7orf13	MY040
LINC01007		
LINC01010		
LINC01011		DKFZp686I15217
LINC01012		
LINC01013		
LINC01014	KCNMB2-IT1	
LINC01015		
LINC01016		
LINC01017		
LINC01018		
LINC01019		
LINC01020		
LINC01021		
LINC01022		TCONS_00013107
LINC01023		
LINC01024		MA-linc1
LINC01028		TCONS_00025127
LINC01029		
LINC01030		TCONS_00015085
LINC01031		TCONS_00000361
LINC01032		
LINC01033		
LINC01034		TCONS_00021570
LINC01035		
LINC01036		
LINC01037		
LINC01038		
LINC01039		
LINC01040		TCONS_00021682
LINC01043		
LINC01044		
LINC01046		
LINC01047		
LINC01048		
LINC01049		
LINC01050		
LINC01052		
LINC01053		
LINC01054		
LINC01055		
LINC01056		
LINC01058		
LINC01059		
LINC01060		
LINC01061		FLJ14186
LINC01063		
LINC01065		
LINC01066		
LINC01067		
LINC01068		
LINC01069		
LINC01070		
LINC01072		
LINC01073		
LINC01074		
LINC01075		
LINC01076		
LINC01077		
LINC01078		
LINC01079		
LINC01080		TCONS_00021856
LINC01081		TCONS_00024764
LINC01082		TCONS_00024492
LINC01085		
LINC01087		
LINC01088		
LINC01089		LIMT
LINC01090		
LINC01091		
LINC01093		
LINC01094		
LINC01095		
LINC01096		
LINC01097		
LINC01098		
LINC01099		
LINC01100		
LINC01101		FLJ14816
LINC01102		
LINC01103		
LINC01104		
LINC01105		FLJ30594, LOC150622
LINC01106		FLJ38359
LINC01107		
LINC01108		LncRNA-ES1
LINC01109		lncRNA-N1
LINC01111		
LINC01112~withdrawn		
LINC01114		PANCAT, LOC284998
LINC01115		
LINC01116		
LINC01117		
LINC01118		
LINC01119		
LINC01120		
LINC01121		UNQ6975
LINC01122		FLJ30838
LINC01123		
LINC01124		
LINC01125		
LINC01126		
LINC01127		
LINC01128		
LINC01132		
LINC01133		
LINC01134		
LINC01135		
LINC01136		
LINC01137		LOC728431
LINC01138	LINC00875	FLJ39739
LINC01139		
LINC01140		FLJ41676
LINC01141		
LINC01142		
LINC01143		
LINC01144		TCONS_00000513
LINC01146		
LINC01148		LOC283585
LINC01149		XXbac-BPG181B23.4
LINC01150		2G7, TCONS_00019134
LINC01151		
LINC01152		TCONS_00025128, CMPD
LINC01153		
LINC01154		
LINC01157		TCONS_00010378, linc-Enc1
LINC01158		linc-Brn1a
LINC01159		linc-Brn1b
LINC01160		
LINC01162		
LINC01163		TCONS_00017722
LINC01164		
LINC01165		
LINC01166		
LINC01167		TCONS_00018075
LINC01168		
LINC01169		
LINC01170		
LINC01173		TCONS_00004057
LINC01176		
LINC01177		
LINC01179		
LINC01180		
LINC01181		FLJ10489
LINC01182		
LINC01184		FLJ33630
LINC01185		FLJ16341
LINC01186		
LINC01187		KIDR
LINC01189		
LINC01191		VIN, lnc-ACTR3
LINC01192	CT64	
LINC01193	CT60	LOC348120
LINC01194	CT49	TAG
LINC01195		
LINC01197		
LINC01198		
LINC01201		TCONS_00017091
LINC01202		
LINC01203		
LINC01204		
LINC01205		
LINC01206		
LINC01207		
LINC01208		
LINC01209		
LINC01210		
LINC01213		
LINC01214		
LINC01215		
LINC01216	EMCN-IT3	
LINC01217	EMCN-IT2	
LINC01218	EMCN-IT1	
LINC01219		
LINC01220		
LINC01221		TCONS_00000366
LINC01222		TCONS_00000112
LINC01224		
LINC01225		
LINC01226		
LINC01227		
LINC01228		lincRNA-DYNLRB2-2
LINC01229		TCONS_00024480
LINC01230		linc-DMRT2, lnc-DRMT2, TCONS_00015639
LINC01231		
LINC01232		FLJ41590, TCONS_00021520
LINC01233		XLOC_013014
LINC01234		onco-lncRNA-32
LINC01235		FLJ41200
LINC01237		
LINC01238		FLJ40615
LINC01239		
LINC01240~withdrawn		
LINC01241		
LINC01242		
LINC01243		
LINC01245~withdrawn		
LINC01246		
LINC01247		
LINC01248		
LINC01249		
LINC01250		FLJ37991
LINC01251		
LINC01252		
LINC01254		
LINC01255		
LINC01256		TCONS_l2_00021715
LINC01257		
LINC01258		
LINC01259		TCONS_00007515
LINC01260		
LINC01262		TCONS_l2_00021807, RP11-462G22.1
LINC01264		RP11-124O11.2
LINC01265		
LINC01266		
LINC01267		
LINC01268		LOC285758
LINC01269		
LINC01270		
LINC01271		
LINC01273		
LINC01276		
LINC01277		
LINC01278		
LINC01279		TCONS_00006930
LINC01280		
LINC01281		
LINC01282		
LINC01284		
LINC01285		
LINC01287		TCONS_l2_00027522
LINC01288		TCONS_00014671
LINC01289		
LINC01290		
LINC01291		
LINC01293		TCONS_00002938
LINC01296~withdrawn		
LINC01297		
LINC01298	C8orf69	
LINC01299		
LINC01300		
LINC01301		
LINC01304		
LINC01305		
LINC01307		RP11-157N3.1
LINC01309		TCONS_l2_00007459
LINC01310		WI2-81516E3.1
LINC01311		
LINC01312		MGC34034
LINC01314		
LINC01315		lnc-C22orf32-1
LINC01317		
LINC01318		
LINC01320		
LINC01322		
LINC01323		TCONS_00005874
LINC01324		
LINC01326		TCONS_00005878
LINC01327		TCONS_00005644
LINC01331		
LINC01332		TCONS_00009701
LINC01333		
LINC01335		
LINC01336		
LINC01337		TCONS_00009713
LINC01338		
LINC01339		
LINC01340		
LINC01341		
LINC01342		
LINC01343		
LINC01344		
LINC01345		
LINC01346		
LINC01347		
LINC01348		
LINC01349		
LINC01350		
LINC01351		
LINC01352		
LINC01353		
LINC01354		
LINC01355		
LINC01356		
LINC01358		
LINC01359		
LINC01360		
LINC01361		
LINC01362		
LINC01363		RBSG4
LINC01364		
LINC01365		
LINC01366		
LINC01370		HI-LNC25
LINC01372		
LINC01374		TCONS_00018278
LINC01375		
LINC01376		
LINC01377		
LINC01378		
LINC01381		TCONS_00002860, DADOT
LINC01384		
LINC01385		TCONS_00009424
LINC01386		
LINC01387	C18orf64	
LINC01388		TCONS_l2_00029888
LINC01389		
LINC01391		
LINC01392		
LINC01393		
LINC01394		TCONS_00012639
LINC01395		TCONS_00019178
LINC01396		
LINC01397		
LINC01398		
LINC01399		
LINC01400		TCONS_00015805
LINC01402		TCONS_00017087
LINC01405		
LINC01410		
LINC01411		RP11-267A15.1
LINC01412		
LINC01413		
LINC01415		TCONS_00026208
LINC01416		
LINC01419		TCONS_00014497
LINC01422		
LINC01423		
LINC01424		
LINC01425		
LINC01426		
LINC01427		
LINC01428		
LINC01429		
LINC01430		
LINC01431		
LINC01432		
LINC01433		LOC728228
LINC01435		RP11-215N21.1, TCONS_00018040
LINC01436		AP000688.8
LINC01438		TCONS_00007593
LINC01440		
LINC01441		
LINC01442		
LINC01443		
LINC01444		
LINC01445		
LINC01446		FLJ45974
LINC01447		
LINC01448		
LINC01449		
LINC01450		
LINC01451	HCCAT4	
LINC01455	MDONA	TCONS_00009433
LINC01456		
LINC01460		
LINC01461		TCONS_00001552
LINC01465	C12orf61	FLJ25590
LINC01467		
LINC01468		lnc-MBL2-4
LINC01470		
LINC01471		
LINC01473		
LINC01474		
LINC01475		
LINC01476		
LINC01477		
LINC01478		
LINC01479		
LINC01480		
LINC01481		
LINC01482		
LINC01483		
LINC01484		
LINC01485		
LINC01486		TCONS_00021407
LINC01487		
LINC01488		
LINC01489		
LINC01490		
LINC01491		
LINC01492		
LINC01493		
LINC01494		
LINC01495		
LINC01496		
LINC01497		
LINC01498		
LINC01499		
LINC01500		
LINC01501		
LINC01502		
LINC01503		lnc-PPP2R4-5
LINC01504		
LINC01505		RP11-308N19.1
LINC01506		
LINC01507		XLOC_000303
LINC01508		
LINC01509		
LINC01510		
LINC01511		RP11-325I22.2
LINC01512		LOC100132354, TCONS_00011120, HI-LNC77
LINC01513		RP11-1C1.7, TCONS_00009352
LINC01514		
LINC01515		
LINC01516		
LINC01517		
LINC01518		
LINC01519		
LINC01520		
LINC01521		
LINC01522		
LINC01523		
LINC01524		
LINC01525		lnc-MAN1A2-1
LINC01526		Lnc-FAM46A-1
LINC01527		lnc-SPRR2D-1
LINC01529		
LINC01530		FLJ30403
LINC01531		
LINC01532		
LINC01533		
LINC01534		
LINC01535		
LINC01537		RP11-169D4.1-001
LINC01538		TCONS_00026184
LINC01539		
LINC01541		
LINC01543		TCONS_00026302
LINC01544		TCONS_00026194
LINC01545	CXorf31	OTTHUMG00000021429
LINC01546	CXorf28	
LINC01547	C21orf69, C21orf67	
LINC01548	C21orf54	
LINC01549	C21orf37	
LINC01550	C14orf64	
LINC01551	C14orf23	
LINC01552~withdrawn		
LINC01553	C10orf40	AC023904.2
LINC01554	C5orf27	FLJ38821, FIS
LINC01555	C1orf180	FLJ35487
LINC01556	C6orf100	dJ25J6.5
LINC01558	C6orf123, LINC01557	HGC6.2, dJ431P23.4
LINC01559	C12orf36	FLJ33810
LINC01560	CXorf24	
LINC01561	C10orf85	FLJ37402, Em:AC023282.2
LINC01562		RP11-296A18.3
LINC01563		
LINC01564		TCONS_00011314
LINC01565	C3orf27	GR6
LINC01566		
LINC01567		
LINC01568		
LINC01569		TCONS_00024567
LINC01570		
LINC01571		TCONS_00024399
LINC01572		
LINC01574		HI-LNC12, TCONS_00009551
LINC01578		
LINC01579		
LINC01580		
LINC01581		
LINC01582		TCONS_00023827
LINC01583		
LINC01584		TCONS_00024001
LINC01585		
LINC01586		TCONS_00023252
LINC01587	C4orf6	aC1
LINC01588	C14orf182	
LINC01589		CTA-941F9.9, TCONS_00029353
LINC01590	C6orf164	dJ102H19.4
LINC01591		
LINC01592		
LINC01593		TCONS_00003364
LINC01594		TCONS_l2_00015893
LINC01595		
LINC01596		TCONS_00007705
LINC01597		
LINC01598		TCONS_00028363
LINC01599	C14orf183	
LINC01600	C6orf195	FLJ31934, bA145H9.2
LINC01601		
LINC01602		T1560
LINC01603		
LINC01605		TCONS_00014973
LINC01606		TCONS_l2_00027778
LINC01607		
LINC01608		TCONS_00015136
LINC01609		
LINC01611		RP1-90L14.1, TCONS_l2_00025430
LINC01612		RP11-789C1.1, TCONS_00008319
LINC01613		n341773
LINC01614		LCAL4, TCONS_00003105
LINC01615		
LINC01616		n341006
LINC01617	C8orf23, NCRNA00249	XLOC_006844
LINC01618		LOC152578
LINC01619	C12orf79	
LINC01620	C20orf62	dJ1013A22.3
LINC01621	C6orf7	
LINC01622		TCONS_00011202
LINC01623		
LINC01624		TCONS_00011425
LINC01625		TCONS_00011139
LINC01626		
LINC01627		RP11-397D12.4
LINC01628		AC007403.1
LINC01629		linc-KIAA1737-2
LINC01630		LOC100287225
LINC01632		
LINC01633		
LINC01634		
LINC01635		
LINC01637		
LINC01638		
LINC01639		
LINC01640		
LINC01641		
LINC01643		
LINC01644		
LINC01645		
LINC01646		
LINC01647		
LINC01648		
LINC01649		
LINC01650		
LINC01651		
LINC01653		
LINC01654		
LINC01655		
LINC01656		
LINC01657		
LINC01658		
LINC01659		
LINC01660		
LINC01661		
LINC01662		
LINC01663		
LINC01664		
LINC01665		
LINC01666		
LINC01667		
LINC01668		
LINC01669		
LINC01670		
LINC01671		BC041455
LINC01672		
LINC01673		
LINC01674		
LINC01675		
LINC01676		
LINC01677		
LINC01678		
LINC01679		
LINC01680		
LINC01681		
LINC01682		
LINC01683		
LINC01684		
LINC01685		
LINC01686		
LINC01687		
LINC01688		
LINC01689		AP000469.2
LINC01691		
LINC01692		
LINC01693		
LINC01694		
LINC01695		
LINC01696		
LINC01697		
LINC01698		
LINC01699		GM140
LINC01700		
LINC01701		
LINC01702		
LINC01703		
LINC01704		
LINC01705		
LINC01706		
LINC01707		
LINC01708		
LINC01709		
LINC01710		
LINC01711		MGC4294
LINC01712		
LINC01713		
LINC01714		
LINC01715		
LINC01716		
LINC01717		
LINC01718		
LINC01719		
LINC01720		
LINC01721		
LINC01722		
LINC01723		
LINC01724		
LINC01725		
LINC01726		
LINC01727		
LINC01728		
LINC01729		
LINC01730		
LINC01731		
LINC01732		
LINC01733		
LINC01734		
LINC01735		
LINC01736		
LINC01737		
LINC01738		
LINC01739		
LINC01740		
LINC01741		
LINC01742		
LINC01743		
LINC01744		
LINC01745		
LINC01746		
LINC01747		
LINC01748		
LINC01749		
LINC01750		
LINC01751		
LINC01752		
LINC01753		
LINC01754		
LINC01755		
LINC01756		
LINC01757		
LINC01758		
LINC01759		
LINC01760		
LINC01761		
LINC01762		
LINC01763		
LINC01764		
LINC01765		
LINC01766		
LINC01767		
LINC01768		
LINC01770		
LINC01771		
LINC01772		ENSG00000226029
LINC01773		
LINC01774		
LINC01775		
LINC01776		
LINC01777		
LINC01778		
LINC01779		
LINC01780		
LINC01781		
LINC01782		
LINC01783		
LINC01784		
LINC01785		
LINC01786		
LINC01787		
LINC01788		
LINC01789		
LINC01790		
LINC01791		
LINC01792		
LINC01793		
