Approved Symbol	Previous Symbols	Synonyms
AGBL2		FLJ23598, CCP2
AGBL3		MGC32955, CCP3
AGBL4		FLJ14442, CCP6
AGBL4-IT1		
AGBL5		FLJ21839, CCP5
AGBL5-AS1		
AGBL5-IT1		
AGER		RAGE, SCARJ1
AGFG1	HRB	RIP, RAB
AGFG2	HRBL	RABR
AGGF1		VG5Q, HSU84971, FLJ10283, GPATC7, GPATCH7
AGGF1P1		
AGGF1P2		
AGGF1P3		
AGGF1P4		
AGGF1P5		
AGGF1P6		
AGGF1P7		
AGGF1P8		
AGGF1P9		
AGGF1P10		
AGK	MULK	FLJ10842
AGKP1		AGKY1
AGL		
AGMAT		FLJ23384
AGMO	TMEM195	FLJ16237
AGMX1~withdrawn		
AGMX2		
AGO1	EIF2C1	hAGO1
AGO2	EIF2C2, CASC7	hAGO2, Q10, LINC00980
AGO3	EIF2C3	hAGO3, FLJ12765
AGO4	EIF2C4	hAGO4, KIAA1567, FLJ20033
AGPAT1		LPAAT-alpha
AGPAT2	BSCL	LPAAT-beta
AGPAT3		LPAAT-gamma
AGPAT4		LPAAT-delta, dJ473J16.2
AGPAT4-IT1	C6orf59, NCRNA00241	FLJ23112
AGPAT5		FLJ11210, LPAAT-e, LPAAT-epsilon
AGPAT5P1		
AGPS		ADHAPS, ADAS, ALDHPSY, ADPS, ADAP-S
AGR2		XAG-2, HAG-2, AG2, PDIA17
AGR3		HAG3, hAG-3, BCMP11, PDIA18
AGRN		AGRIN
AGRP		Agrt, ART, ASIP2
AGS1~withdrawn		
AGS2~withdrawn		
AGS~withdrawn		
AGT	SERPINA8	
AGTBP~withdrawn		
AGTIL~withdrawn		
AGTPBP1		KIAA1035, Nna1, CCP1
AGTR1	AGTR1B	AT1, AT2R1, AGTR1A, AT2R1A, HAT1R, AG2S, AT2R1B, AT1B
AGTR1B~withdrawn		
AGTR2		AT2, MRX88
AGTRAP		ATRAP
AGTRL2~withdrawn		
AGXT	SPAT	AGXT1, PH1, AGT, SPT, AGT1
AGXT2		AGT2
AHCTF1		ELYS
AHCTF1P1	AHCTF1P	ELYS-like
AHCY		SAHH
AHCYL1		XPVKONA, IRBIT, PPP1R78
AHCYL2		KIAA0828
AHCYP1		
AHCYP2		
AHCYP3		
AHCYP4		
AHCYP5		
AHCYP6		
AHCYP7		
AHCYP8		
AHC~withdrawn		
AHDC1		DJ159A19.3, RP1-159A19.1
AHDS~withdrawn		
AHI1		FLJ20069, ORF1, JBTS3
AHNAK		MGC5395
AHNAK2	C14orf78	
AHR		bHLHe76
